# x exact all by_neuron by_set random_subset
-1 0.353227 0.353575 0.331299 0.353227 0.300304
-0.995 0.354061 0.354173 0.333861 0.320895 0.301455
-0.99 0.354636 0.354536 0.336153 0.290578 0.30243
-0.985 0.354944 0.354658 0.338164 0.271613 0.303224
-0.98 0.354983 0.354533 0.339881 0.267657 0.30383
-0.975 0.354746 0.354154 0.341292 0.275929 0.304242
-0.97 0.354228 0.353515 0.342385 0.290079 0.304454
-0.965 0.353425 0.352611 0.34315 0.304044 0.304458
-0.96 0.352332 0.351437 0.343576 0.314375 0.30425
-0.955 0.350945 0.349986 0.343652 0.320345 0.303822
-0.95 0.34926 0.348254 0.343368 0.32281 0.303169
-0.945 0.347273 0.346236 0.342716 0.323015 0.302285
-0.94 0.34498 0.343926 0.341686 0.321937 0.301163
-0.935 0.342378 0.341321 0.340272 0.320149 0.299798
-0.93 0.339463 0.338416 0.338465 0.317923 0.298184
-0.925 0.336233 0.335207 0.336259 0.315362 0.296315
-0.92 0.332684 0.33169 0.333649 0.3125 0.294185
-0.915 0.328814 0.327862 0.330628 0.309343 0.291789
-0.91 0.324621 0.323719 0.327194 0.305889 0.289122
-0.905 0.320103 0.319258 0.323342 0.302135 0.286179
-0.9 0.315257 0.314477 0.319069 0.298077 0.282954
-0.895 0.310084 0.309372 0.314374 0.293711 0.279442
-0.89 0.30458 0.303943 0.309256 0.289034 0.27564
-0.885 0.298746 0.298187 0.303715 0.284041 0.271542
-0.88 0.292581 0.292102 0.29775 0.278731 0.267144
-0.875 0.286084 0.285688 0.291363 0.273101 0.262442
-0.87 0.279256 0.278943 0.284557 0.267147 0.257432
-0.865 0.272096 0.271868 0.277335 0.260869 0.252111
-0.86 0.264606 0.264462 0.2697 0.254264 0.246475
-0.855 0.256785 0.256725 0.261657 0.24733 0.240522
-0.85 0.248636 0.248657 0.253211 0.240066 0.234247
-0.845 0.24016 0.240261 0.244369 0.232472 0.22765
-0.84 0.231359 0.231536 0.235136 0.224547 0.220727
-0.835 0.222235 0.222485 0.225521 0.21629 0.213477
-0.83 0.21279 0.21311 0.215531 0.207703 0.205899
-0.825 0.203028 0.203413 0.205175 0.198785 0.19799
-0.82 0.192951 0.193396 0.194463 0.189537 0.18975
-0.815 0.182563 0.183064 0.183403 0.179961 0.181178
-0.81 0.171868 0.17242 0.172006 0.170059 0.172275
-0.805 0.16087 0.161467 0.160283 0.159832 0.16304
-0.8 0.149573 0.15021 0.148245 0.149283 0.153474
-0.795 0.137983 0.138653 0.135902 0.138415 0.143578
-0.79 0.126104 0.126802 0.123267 0.127232 0.133353
-0.785 0.113943 0.114663 0.110352 0.115737 0.122801
-0.78 0.101504 0.10224 0.0971678 0.103934 0.111924
-0.775 0.0887945 0.0895402 0.0837279 0.0918288 0.100725
-0.77 0.0758208 0.0765702 0.0700443 0.0794254 0.0892065
-0.765 0.0625897 0.063337 0.0561296 0.0667295 0.0773723
-0.76 0.0491083 0.0498477 0.0419964 0.0537473 0.0652263
-0.755 0.0353841 0.03611 0.0276572 0.0404851 0.0527728
-0.75 0.0214251 0.0221321 0.0131246 0.0269498 0.0400165
-0.745 0.00723926 0.00792213 -0.0015889 0.0131486 0.0269628
-0.74 -0.00716481 -0.00651103 -0.0164708 -0.000910666 0.0136175
-0.735 -0.0217784 -0.0211584 -0.0315088 -0.0152199 -1.33726e-05
-0.73 -0.0365924 -0.0360105 -0.0466907 -0.0297704 -0.0139231
-0.725 -0.0515974 -0.0510578 -0.0620045 -0.0445531 -0.0281044
-0.72 -0.0667838 -0.0662902 -0.0774383 -0.0595586 -0.0425498
-0.715 -0.0821415 -0.0816973 -0.0929805 -0.0747769 -0.0572513
-0.71 -0.0976604 -0.0972685 -0.10862 -0.0901977 -0.0722001
-0.705 -0.11333 -0.112993 -0.124344 -0.10581 -0.0873873
-0.7 -0.129139 -0.128859 -0.140144 -0.121603 -0.102803
-0.695 -0.145077 -0.144857 -0.156007 -0.137565 -0.118439
-0.69 -0.161132 -0.160972 -0.171924 -0.153684 -0.134282
-0.685 -0.177294 -0.177195 -0.187884 -0.169948 -0.150323
