# t best plus_plus plus_minus minus_plus minus_minus
0 142.404 147.535 147.535 137.45 137.45
0.080402 140.463 145.609 145.441 135.656 135.5
0.160804 138.55 143.708 143.377 133.884 133.577
0.241206 136.662 141.831 141.342 132.136 131.681
0.321608 134.8 139.979 139.336 130.411 129.812
0.40201 132.963 138.152 137.359 128.708 127.97
0.482412 131.152 136.348 135.409 127.028 126.153
0.562814 129.365 134.567 133.488 125.369 124.363
0.643216 127.602 132.81 131.593 123.732 122.598
0.723618 125.864 131.076 129.726 122.116 120.858
0.80402 124.149 129.365 127.885 120.522 119.143
0.884422 122.457 127.676 126.07 118.948 117.452
0.964824 120.789 126.009 124.28 117.395 115.785
1.04523 119.143 124.363 122.517 115.862 114.142
1.12563 117.52 122.739 120.778 114.349 112.522
1.20603 115.918 121.137 119.064 112.856 110.925
1.28643 114.339 119.555 117.374 111.383 109.351
1.36683 112.781 117.994 115.708 109.928 107.799
1.44724 111.245 116.453 114.066 108.493 106.269
1.52764 109.729 114.933 112.447 107.077 104.761
1.60804 108.234 113.432 110.851 105.678 103.274
1.68844 106.759 111.951 109.278 104.299 101.808
1.76884 105.305 110.489 107.727 102.937 100.363
1.84925 103.87 109.047 106.198 101.593 98.9389
1.92965 102.455 107.623 104.691 100.266 97.5348
2.01005 101.059 106.218 103.205 98.957 96.1505
2.09045 99.6818 104.831 101.74 97.6649 94.7859
2.17085 98.3237 103.462 100.297 96.3897 93.4407
2.25126 96.984 102.111 98.8731 95.1311 92.1146
2.33166 95.6626 100.778 97.4698 93.889 90.8073
2.41206 94.3593 99.4618 96.0865 92.663 89.5185
2.49246 93.0736 98.1631 94.7228 91.4531 88.248
2.57286 91.8055 96.8814 93.3785 90.259 86.9956
2.65327 90.5547 95.6164 92.0533 89.0805 85.7609
2.73367 89.3209 94.3679 90.7468 87.9174 84.5438
2.81407 88.1039 93.1357 89.4589 86.7694 83.3439
2.89447 86.9035 91.9197 88.1893 85.6364 82.1611
2.97487 85.7194 90.7194 86.9377 84.5183 80.995
3.05528 84.5515 89.5349 85.7038 83.4147 79.8455
3.13568 83.3995 88.3658 84.4875 82.3256 78.7123
3.21608 82.2632 87.212 83.2884 81.2506 77.5952
3.29648 81.1424 86.0733 82.1064 80.1897 76.494
3.37688 80.0369 84.9494 80.9411 79.1427 75.4084
3.45729 78.9464 83.8402 79.7924 78.1093 74.3381
3.53769 77.8707 82.7455 78.66 77.0894 73.2831
3.61809 76.8098 81.6651 77.5436 76.0829 72.2431
3.69849 75.7632 80.5988 76.4431 75.0894 71.2178
3.77889 74.731 79.5464 75.3582 74.109 70.207
3.8593 73.7128 78.5078 74.2887 73.1413 69.2106
3.9397 72.7084 77.4827 73.2343 72.1863 68.2284
4.0201 71.7178 76.471 72.195 71.2438 67.2601
4.1005 70.7407 75.4725 71.1704 70.3135 66.3055
4.1809 69.7768 74.487 70.1603 69.3954 65.3645
4.26131 68.8261 73.5144 69.1646 68.4893 64.4368
4.34171 67.8884 72.5546 68.183 67.5951 63.5223
4.42211 66.9634 71.6072 67.2153 66.7125 62.6208
4.50251 66.0511 70.6722 66.2614 65.8414 61.732
4.58291 65.1511 69.7495 65.321 64.9817 60.8559
4.66332 64.2634 68.8387 64.3939 64.1332 59.9922
4.74372 63.3879 67.9399 63.48 63.2958 59.1408
4.82412 62.5242 67.0528 62.5791 62.4694 58.3015
4.90452 61.6723 66.1773 61.691 61.6537 57.4741
4.98492 60.8321 65.3132 60.8154 60.8487 56.6584
5.06533 60.0032 64.4604 59.9523 60.0542 55.8543
5.14573 59.1857 63.6187 59.1015 59.27 55.0616
5.22613 58.3793 62.788 58.2627 58.4961 54.2801
5.30653 57.5839 61.9682 57.4358 57.7324 53.5098
5.38693 56.7993 61.1591 56.6207 56.9785 52.7503
5.46734 56.0254 60.3605 55.8171 56.2346 52.0017
5.54774 55.2621 59.5724 55.0249 55.5003 51.2637
5.62814 54.5092 58.7945 54.244 54.7756 50.5361
5.70854 53.7665 58.0269 53.4741 54.0604 49.8189
5.78894 53.0339 57.2692 52.7152 53.3545 49.1119
5.86935 52.3113 56.5214 51.9671 52.6579 48.4148
5.94975 51.5986 55.7834 51.2295 51.9703 47.7277
6.03015 50.8956 55.055 50.5025 51.2917 47.0504
6.11055 50.2021 54.3362 49.7857 50.622 46.3826
6.19095 49.5181 53.6267 49.0792 49.961 45.7243
6.27136 48.8435 52.9265 48.3826 49.3087 45.0754
6.35176 48.178 52.2354 47.696 48.6649 44.4357
6.43216 47.5216 51.5534 47.0191 48.0294 43.805
6.51256 46.8741 50.8803 46.3517 47.4023 43.1834
6.59296 46.2354 50.2159 45.6939 46.7834 42.5705
6.67337 45.6055 49.5602 45.0454 46.1725 41.9663
6.75377 44.9841 48.9131 44.4061 45.5696 41.3707
6.83417 44.3712 48.2745 43.7759 44.9746 40.7836
6.91457 43.7667 47.6441 43.1546 44.3874 40.2048
6.99497 43.1704 47.022 42.5422 43.8078 39.6342
7.07538 42.5822 46.4081 41.9384 43.2358 39.0717
7.15578 42.002 45.8021 41.3432 42.6713 38.5172
7.23618 41.4297 45.2041 40.7564 42.1141 37.9705
7.31658 40.8652 44.6138 40.178 41.5642 37.4316
7.39698 40.3085 44.0313 39.6078 41.0215 36.9004
7.47739 39.7593 43.4564 39.0457 40.4859 36.3767
7.55779 39.2175 42.889 38.4915 39.9573 35.8604
7.63819 38.6832 42.329 37.9452 39.4355 35.3515
7.71859 38.1562 41.7763 37.4067 38.9206 34.8498
7.79899 37.6363 41.2308 36.8758 38.4124 34.3552
7.8794 37.1235 40.6924 36.3525 37.9109 33.8676
7.9598 36.6177 40.1611 35.8366 37.4159 33.3869
8.0402 36.1188 39.6367 35.328 36.9273 32.9131
8.1206 35.6267 39.1192 34.8266 36.4452 32.446
8.20101 35.1413 38.6084 34.3323 35.9693 31.9855
8.28141 34.6625 38.1043 33.845 35.4996 31.5316
8.36181 34.1902 37.6067 33.3647 35.0361 31.0841
8.44221 33.7244 37.1157 32.8912 34.5786 30.6429
8.52261 33.2649 36.6311 32.4244 34.1272 30.208
8.60302 32.8116 36.1528 31.9642 33.6815 29.7793
8.68342 32.3646 35.6807 31.5106 33.2418 29.3567
8.76382 31.9236 35.2148 31.0634 32.8077 28.94
