# t best plus_plus plus_minus minus_plus minus_minus
0 4.95866 4.99407 4.99407 4.92326 4.92326
0.080402 4.94495 4.98092 4.97977 4.91012 4.90897
0.160804 4.93123 4.96778 4.96548 4.89698 4.89468
0.241206 4.91751 4.95464 4.95119 4.88383 4.88038
0.321608 4.90379 4.94149 4.93689 4.87069 4.86609
0.40201 4.89007 4.92835 4.9226 4.85755 4.85179
0.482412 4.87635 4.91521 4.9083 4.8444 4.8375
0.562814 4.86264 4.90207 4.89401 4.83126 4.82321
0.643216 4.84892 4.88892 4.87972 4.81812 4.80891
0.723618 4.8352 4.87578 4.86542 4.80497 4.79462
0.80402 4.82148 4.86264 4.85113 4.79183 4.78032
0.884422 4.80776 4.84949 4.83683 4.77869 4.76603
0.964824 4.79404 4.83635 4.82254 4.76555 4.75174
1.04523 4.78032 4.82321 4.80825 4.7524 4.73744
1.12563 4.76661 4.81006 4.79395 4.73926 4.72315
1.20603 4.75289 4.79692 4.77966 4.72612 4.70885
1.28643 4.73917 4.78378 4.76536 4.71297 4.69456
1.36683 4.72545 4.77063 4.75107 4.69983 4.68027
1.44724 4.71173 4.75749 4.73678 4.68669 4.66597
1.52764 4.69801 4.74435 4.72248 4.67354 4.65168
1.60804 4.68429 4.7312 4.70819 4.6604 4.63738
1.68844 4.67058 4.71806 4.69389 4.64726 4.62309
1.76884 4.65686 4.70492 4.6796 4.63411 4.6088
1.84925 4.64314 4.69178 4.66531 4.62097 4.5945
1.92965 4.62942 4.67863 4.65101 4.60783 4.58021
2.01005 4.6157 4.66549 4.63672 4.59469 4.56591
2.09045 4.60198 4.65235 4.62242 4.58154 4.55162
2.17085 4.58826 4.6392 4.60813 4.5684 4.53733
2.25126 4.57455 4.62606 4.59384 4.55526 4.52303
2.33166 4.56083 4.61292 4.57954 4.54211 4.50874
2.41206 4.54711 4.59977 4.56525 4.52897 4.49445
2.49246 4.53339 4.58663 4.55096 4.51583 4.48015
2.57286 4.51967 4.57349 4.53666 4.50268 4.46586
2.65327 4.50595 4.56034 4.52237 4.48954 4.45156
2.73367 4.49224 4.5472 4.50807 4.4764 4.43727
2.81407 4.47852 4.53406 4.49378 4.46325 4.42298
2.89447 4.4648 4.52091 4.47949 4.45011 4.40868
2.97487 4.45108 4.50777 4.46519 4.43697 4.39439
3.05528 4.43736 4.49463 4.4509 4.42382 4.38009
3.13568 4.42364 4.48149 4.4366 4.41068 4.3658
3.21608 4.40992 4.46834 4.42231 4.39754 4.35151
3.29648 4.39621 4.4552 4.40802 4.3844 4.33721
3.37688 4.38249 4.44206 4.39372 4.37125 4.32292
3.45729 4.36877 4.42891 4.37943 4.35811 4.30862
3.53769 4.35505 4.41577 4.36513 4.34497 4.29433
3.61809 4.34133 4.40263 4.35084 4.33182 4.28004
3.69849 4.32761 4.38948 4.33655 4.31868 4.26574
3.77889 4.31389 4.37634 4.32225 4.30554 4.25145
3.8593 4.30018 4.3632 4.30796 4.29239 4.23715
3.9397 4.28646 4.35005 4.29366 4.27925 4.22286
4.0201 4.27274 4.33691 4.27937 4.26611 4.20857
4.1005 4.25902 4.32377 4.26508 4.25296 4.19427
4.1809 4.2453 4.31063 4.25078 4.23982 4.17998
4.26131 4.23158 4.29748 4.23649 4.22668 4.16568
4.34171 4.21786 4.28434 4.22219 4.21354 4.15139
4.42211 4.20415 4.2712 4.2079 4.20039 4.1371
4.50251 4.19043 4.25805 4.19361 4.18725 4.1228
4.58291 4.17671 4.24491 4.17931 4.17411 4.10851
4.66332 4.16299 4.23177 4.16502 4.16096 4.09422
4.74372 4.14927 4.21862 4.15073 4.14782 4.07992
4.82412 4.13555 4.20548 4.13643 4.13468 4.06563
4.90452 4.12184 4.19234 4.12214 4.12153 4.05133
4.98492 4.10812 4.17919 4.10784 4.10839 4.03704
5.06533 4.0944 4.16605 4.09355 4.09525 4.02275
5.14573 4.08068 4.15291 4.07926 4.0821 4.00845
5.22613 4.06696 4.13976 4.06496 4.06896 3.99416
5.30653 4.05324 4.12662 4.05067 4.05582 3.97986
5.38693 4.03952 4.11348 4.03637 4.04267 3.96557
5.46734 4.02581 4.10034 4.02208 4.02953 3.95128
5.54774 4.01209 4.08719 4.00779 4.01639 3.93698
5.62814 3.99837 4.07405 3.99349 4.00325 3.92269
5.70854 3.98465 4.06091 3.9792 3.9901 3.90839
5.78894 3.97093 4.04776 3.9649 3.97696 3.8941
5.86935 3.95721 4.03462 3.95061 3.96382 3.87981
5.94975 3.94349 4.02148 3.93632 3.95067 3.86551
6.03015 3.92978 4.00833 3.92202 3.93753 3.85122
6.11055 3.91606 3.99519 3.90773 3.92439 3.83692
6.19095 3.90234 3.98205 3.89343 3.91124 3.82263
6.27136 3.88862 3.9689 3.87914 3.8981 3.80834
6.35176 3.8749 3.95576 3.86485 3.88496 3.79404
6.43216 3.86118 3.94262 3.85055 3.87181 3.77975
6.51256 3.84747 3.92947 3.83626 3.85867 3.76546
6.59296 3.83375 3.91633 3.82197 3.84553 3.75116
6.67337 3.82003 3.90319 3.80767 3.83238 3.73687
6.75377 3.80631 3.89005 3.79338 3.81924 3.72257
6.83417 3.79259 3.8769 3.77908 3.8061 3.70828
6.91457 3.77887 3.86376 3.76479 3.79296 3.69399
6.99497 3.76515 3.85062 3.7505 3.77981 3.67969
7.07538 3.75144 3.83747 3.7362 3.76667 3.6654
7.15578 3.73772 3.82433 3.72191 3.75353 3.6511
7.23618 3.724 3.81119 3.70761 3.74038 3.63681
7.31658 3.71028 3.79804 3.69332 3.72724 3.62252
7.39698 3.69656 3.7849 3.67903 3.7141 3.60822
7.47739 3.68284 3.77176 3.66473 3.70095 3.59393
7.55779 3.66912 3.75861 3.65044 3.68781 3.57963
7.63819 3.65541 3.74547 3.63614 3.67467 3.56534
7.71859 3.64169 3.73233 3.62185 3.66152 3.55105
7.79899 3.62797 3.71919 3.60756 3.64838 3.53675
7.8794 3.61425 3.70604 3.59326 3.63524 3.52246
7.9598 3.60053 3.6929 3.57897 3.6221 3.50816
8.0402 3.58681 3.67976 3.56467 3.60895 3.49387
8.1206 3.57309 3.66661 3.55038 3.59581 3.47958
8.20101 3.55938 3.65347 3.53609 3.58267 3.46528
8.28141 3.54566 3.64033 3.52179 3.56952 3.45099
8.36181 3.53194 3.62718 3.5075 3.55638 3.43669
8.44221 3.51822 3.61404 3.4932 3.54324 3.4224
8.52261 3.5045 3.6009 3.47891 3.53009 3.40811
8.60302 3.49078 3.58775 3.46462 3.51695 3.39381
8.68342 3.47707 3.57461 3.45032 3.50381 3.37952
8.76382 3.46335 3.56147 3.43603 3.49066 3.36523
8.84422 3.44963 3.54832 3.42174 3.47752 3.35093
8.92462 3.43591 3.53518 3.40744 3.46438 3.33664
9.00503 3.42219 3.52204 3.39315 3.45123 3.32234
9.08543 3.40847 3.5089 3.37885 3.43809 3.30805
9.16583 3.39475 3.49575 3.36456 3.42495 3.29376
9.24623 3.38104 3.48261 3.35027 3.41181 3.27946
9.32663 3.36732 3.46947 3.33597 3.39866 3.26517
9.40704 3.3536 3.45632 3.32168 3.38552 3.25087
9.48744 3.33988 3.44318 3.30738 3.37238 3.23658
9.56784 3.32616 3.43004 3.29309 3.35923 3.22229
9.64824 3.31244 3.41689 3.2788 3.34609 3.20799
9.72864 3.29872 3.40375 3.2645 3.33295 3.1937
9.80905 3.28501 3.39061 3.25021 3.3198 3.1794
9.88945 3.27129 3.37746 3.23591 3.30666 3.16511
9.96985 3.25757 3.36432 3.22162 3.29352 3.15082
10.0503 3.24385 3.35118 3.20733 3.28037 3.13652
10.1307 3.23013 3.33803 3.19303 3.26723 3.12223
10.2111 3.21641 3.32489 3.17874 3.25409 3.10793
10.2915 3.20269 3.31175 3.16444 3.24094 3.09364
10.3719 3.18898 3.29861 3.15015 3.2278 3.07935
10.4523 3.17526 3.28546 3.13586 3.21466 3.06505
10.5327 3.16154 3.27232 3.12156 3.20152 3.05076
10.6131 3.14782 3.25918 3.10727 3.18837 3.03647
10.6935 3.1341 3.24603 3.09297 3.17523 3.02217
10.7739 3.12038 3.23289 3.07868 3.16209 3.00788
10.8543 3.10667 3.21975 3.06439 3.14894 2.99358
10.9347 3.09295 3.2066 3.05009 3.1358 2.97929
11.0151 3.07923 3.19346 3.0358 3.12266 2.965
11.0955 3.06551 3.18032 3.02151 3.10951 2.9507
11.1759 3.05179 3.16717 3.00721 3.09637 2.93641
11.2563 3.03807 3.15403 2.99292 3.08323 2.92211
11.3367 3.02435 3.14089 2.97862 3.07008 2.90782
11.4171 3.01064 3.12775 2.96433 3.05694 2.89353
11.4975 2.99692 3.1146 2.95004 3.0438 2.87923
11.5779 2.9832 3.10146 2.93574 3.03066 2.86494
11.6583 2.96948 3.08832 2.92145 3.01751 2.85064
11.7387 2.95576 3.07517 2.90715 3.00437 2.83635
11.8191 2.94204 3.06203 2.89286 2.99123 2.82206
11.8995 2.92832 3.04889 2.87857 2.97808 2.80776
11.9799 2.91461 3.03574 2.86427 2.96494 2.79347
12.0603 2.90089 3.0226 2.84998 2.9518 2.77917
12.1407 2.88717 3.00946 2.83568 2.93865 2.76488
12.2211 2.87345 2.99631 2.82139 2.92551 2.75059
12.3015 2.85973 2.98317 2.8071 2.91237 2.73629
12.3819 2.84601 2.97003 2.7928 2.89922 2.722
12.4623 2.83229 2.95688 2.77851 2.88608 2.7077
12.5427 2.81858 2.94374 2.76421 2.87294 2.69341
12.6231 2.80486 2.9306 2.74992 2.85979 2.67912
12.7035 2.79114 2.91746 2.73563 2.84665 2.66482
12.7839 2.77742 2.90431 2.72133 2.83351 2.65053
12.8643 2.7637 2.89117 2.70704 2.82037 2.63624
12.9447 2.74998 2.87803 2.69275 2.80722 2.62194
13.0251 2.73627 2.86488 2.67845 2.79408 2.60765
13.1055 2.72255 2.85174 2.66416 2.78094 2.59335
13.1859 2.70883 2.8386 2.64986 2.76779 2.57906
13.2663 2.69511 2.82545 2.63557 2.75465 2.56477
13.3467 2.68139 2.81231 2.62128 2.74151 2.55047
13.4271 2.66767 2.79917 2.60698 2.72836 2.53618
13.5075 2.65395 2.78602 2.59269 2.71522 2.52188
13.5879 2.64024 2.77288 2.57839 2.70208 2.50759
13.6683 2.62652 2.75974 2.5641 2.68893 2.4933
13.7487 2.6128 2.7466 2.54981 2.67579 2.479
13.8291 2.59908 2.73345 2.53551 2.66265 2.46471
13.9095 2.58536 2.72031 2.52122 2.6495 2.45041
13.9899 2.57164 2.70717 2.50692 2.63636 2.43612
14.0704 2.55792 2.69402 2.49263 2.62322 2.42183
14.1508 2.54421 2.68088 2.47834 2.61008 2.40753
14.2312 2.53049 2.66774 2.46404 2.59693 2.39324
14.3116 2.51677 2.65459 2.44975 2.58379 2.37894
14.392 2.50305 2.64145 2.43545 2.57065 2.36465
14.4724 2.48933 2.62831 2.42116 2.5575 2.35036
14.5528 2.47561 2.61516 2.40687 2.54436 2.33606
14.6332 2.46189 2.60202 2.39257 2.53122 2.32177
14.7136 2.44818 2.58888 2.37828 2.51807 2.30747
14.794 2.43446 2.57573 2.36398 2.50493 2.29318
14.8744 2.42074 2.56259 2.34969 2.49179 2.27889
14.9548 2.40702 2.54945 2.3354 2.47864 2.26459
15.0352 2.3933 2.53631 2.3211 2.4655 2.2503
15.1156 2.37958 2.52316 2.30681 2.45236 2.23601
15.196 2.36587 2.51002 2.29252 2.43922 2.22171
15.2764 2.35215 2.49688 2.27822 2.42607 2.20742
15.3568 2.33843 2.48373 2.26393 2.41293 2.19312
15.4372 2.32471 2.47059 2.24963 2.39979 2.17883
15.5176 2.31099 2.45745 2.23534 2.38664 2.16454
15.598 2.29727 2.4443 2.22105 2.3735 2.15024
15.6784 2.28355 2.43116 2.20675 2.36036 2.13595
15.7588 2.26984 2.41802 2.19246 2.34721 2.12165
15.8392 2.25612 2.40487 2.17816 2.33407 2.10736
15.9196 2.2424 2.39173 2.16387 2.32093 2.09307
16 2.22868 2.37859 2.14958 2.30778 2.07877
