# z cos(z) sin(z) qspline qsplineInteg qsplineDeriv -sin(z)
0 1 0 1 0 -0.221074 -0
0.02 0.9998 0.0199987 0.99556 0.0199557 -0.222974 -0.0199987
0.04 0.9992 0.0399893 0.991081 0.0398221 -0.224875 -0.0399893
0.06 0.998201 0.059964 0.986565 0.0595986 -0.226776 -0.059964
0.08 0.996802 0.0799147 0.98201 0.0792845 -0.228677 -0.0799147
0.1 0.995004 0.0998334 0.977417 0.0988788 -0.230578 -0.0998334
0.12 0.992809 0.119712 0.972787 0.118381 -0.232479 -0.119712
0.14 0.990216 0.139543 0.968118 0.13779 -0.23438 -0.139543
0.16 0.987227 0.159318 0.963412 0.157105 -0.236281 -0.159318
0.18 0.983844 0.17903 0.958667 0.176326 -0.238182 -0.17903
0.2 0.980067 0.198669 0.953884 0.195452 -0.240083 -0.198669
0.22 0.975897 0.21823 0.949064 0.214481 -0.241984 -0.21823
0.24 0.971338 0.237703 0.944205 0.233414 -0.243884 -0.237703
0.26 0.96639 0.257081 0.939308 0.252249 -0.245785 -0.257081
0.28 0.961055 0.276356 0.934374 0.270986 -0.247686 -0.276356
0.3 0.955336 0.29552 0.929401 0.289624 -0.249587 -0.29552
0.32 0.949235 0.314567 0.92439 0.308162 -0.251488 -0.314567
0.34 0.942755 0.333487 0.919341 0.326599 -0.253389 -0.333487
0.36 0.935897 0.352274 0.914255 0.344935 -0.25529 -0.352274
0.38 0.928665 0.37092 0.90913 0.363169 -0.257191 -0.37092
0.4 0.921061 0.389418 0.903967 0.3813 -0.259092 -0.389418
0.42 0.913089 0.40776 0.898766 0.399328 -0.260993 -0.40776
0.44 0.904752 0.425939 0.893527 0.417251 -0.262893 -0.425939
0.46 0.896052 0.443948 0.88825 0.435069 -0.264794 -0.443948
0.48 0.886995 0.461779 0.882935 0.45278 -0.266695 -0.461779
0.5 0.877583 0.479426 0.877583 0.470386 -0.268596 -0.479426
0.52 0.867819 0.49688 0.871886 0.487881 -0.301073 -0.49688
0.54 0.857709 0.514136 0.86554 0.505257 -0.33355 -0.514136
0.56 0.847255 0.531186 0.858544 0.522499 -0.366028 -0.531186
0.58 0.836463 0.548024 0.850899 0.539594 -0.398505 -0.548024
0.6 0.825336 0.564642 0.842604 0.55653 -0.430982 -0.564642
0.62 0.813878 0.581035 0.833659 0.573294 -0.463459 -0.581035
